dt: 0.000908618
iter Ex Ey Ez Bx By Bz Jx Jy Jz
0 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
10 2.344940396871186e-16 4.140401336406172e-16 5.775909194806230e-16 2.123819949334362e-17 7.685744326866553e-16 5.663121697537435e-16 9.517702124152518e-10 6.100909292505716e-12 7.159462615216689e-12
20 1.817906857217389e-15 2.201672673759045e-15 3.041023955724813e-15 2.998885178506777e-17 4.080122202493470e-15 2.963368916584566e-15 3.988107322022605e-09 6.548777066587366e-12 7.610590655930504e-12
30 6.045299967798884e-15 5.804448716117067e-15 8.314082218889885e-15 4.118632346369911e-17 1.143397033501398e-14 8.616192316631239e-15 1.028395143679780e-08 7.143800889281208e-12 8.511633313002875e-12
40 1.456734209107950e-14 1.228425871876254e-14 1.621219325545859e-14 5.672690226923789e-17 2.652927470644952e-14 2.018861430786854e-14 1.820176856524904e-08 7.805751838158365e-12 9.221988107265981e-12
50 2.869748990921355e-14 2.105730754473908e-14 2.847371534395107e-14 7.503086690863818e-17 4.559724482904770e-14 3.433574968029718e-14 2.460250247890248e-08 7.646773658783821e-12 9.331968272490180e-12
60 4.777127685718571e-14 3.302723425970097e-14 4.477384100588912e-14 8.921504776953323e-17 6.893328091999269e-14 5.426084356598651e-14 3.378737968431212e-08 7.982663437947176e-12 9.839395919635709e-12
70 7.291514723022445e-14 5.125250033925047e-14 6.426066661674971e-14 1.085168102256108e-16 1.086070623495091e-13 8.597057138888431e-14 4.580858012099426e-08 9.624785595739478e-12 1.185594466499977e-11
80 1.081679022304364e-13 7.368513386380471e-14 9.398873945522243e-14 1.285400091292393e-16 1.559997466984057e-13 1.220389532440120e-13 5.972288188144012e-08 1.287220461756127e-11 1.588660420313349e-11
90 1.578264970448032e-13 1.062203564855413e-13 1.349146658357961e-13 1.534192803171407e-16 2.199507414583002e-13 1.823088821443886e-13 8.255300921151461e-08 2.001909665936185e-11 2.436716224753712e-11
100 2.347058209149358e-13 1.602208290163392e-13 1.920647962599321e-13 1.960583994443495e-16 3.373462499210079e-13 2.805281200196080e-13 1.165010724853052e-07 3.452582422702280e-11 4.180515551095510e-11
110 3.546974279529157e-13 2.350298513690989e-13 2.798111609255431e-13 2.623563534604150e-16 4.931564702381930e-13 4.150317263851228e-13 1.527932225371556e-07 4.766393071618932e-11 5.781395794054861e-11
120 5.382240675531298e-13 3.413673424800394e-13 3.949544416179568e-13 3.433318338286755e-16 6.950905296434090e-13 6.104998085574794e-13 1.719962523988534e-07 4.794039435372585e-11 5.463020362876156e-11
130 7.640046575932654e-13 4.916781478039568e-13 5.493592100423863e-13 4.209577499310567e-16 9.788617061740302e-13 8.719137593454799e-13 2.023459180516362e-07 5.580868291380573e-11 6.545189730728843e-11
140 1.063690501220238e-12 6.768843024992343e-13 7.460678335640389e-13 5.407919450104225e-16 1.341902426966204e-12 1.238047879449141e-12 2.531740098487328e-07 7.570888109409551e-11 8.579479559346575e-11
